"","season","episode_num_in_season","episode_num_overall","Episode","patients_name","medical_diagnosis","icd_code","category","organs_affected","directed_by","written_by","us_viewers","original_air_date","imdb_rating","total_votes","description"
"30",1,18,18,"Babies & Bathwater","Naomi Randolph","Benign neoplasm: Bronchus and lung","D143","NEOPLASTIC","LUNGS","Bill Johnson","Story by: Peter BlakeTeleplay by: Peter Blake & David Shore",17480000,"19 Apr. 2005",8.9,3025,"While House and his team scramble to discover what's causing brain and kidney dysfunction in a pregnant woman, Vogler is on the warpath to get House fired."
"31",1,19,19,"Kids","Mary Carroll","Secondary thrombocytopenia","D695","AUTOIMMUNE","BV","Deran Sarafian","Thomas L. Moran & Lawrence Kaplow",17140000,"3 May 2005",8.3,2693,"During a meningitis outbreak which overwhelms the clinic, House is drawn to a single patient: a 12-year-old competitive diver whose symptoms don't quite match everyone else's."
"32",1,20,20,"Love Hurts","Harvey Park","Osteomyelitis","M86","CONNECTIVE","BONES","Bryan Spicer","Sara B. Cooper",18800000,"10 May 2005",8.3,2743,"House has to deal with his promised dinner date with Cameron, a mysterious stroke in a clinic patient and a libidinous senior citizen."
"33",1,21,21,"Three Stories","The Farmer","Necrotizing fasciitis","M726","CONNECTIVE","MUSCLE","Paris Barclay","David Shore",17680000,"17 May 2005",9.6,7221,"House's ex Stacy Warner asks him to treat her husband. House takes over a diagnostics class for a day and presents the class with three case studies of leg pain. As House tells his story and the class gradually fills up with listeners, the class learns a lot about how to be better doctors, and Chase, Foreman and Cameron learn some important details of House's past."
"34",1,21,21,"Three Stories","Volleyball Player","Malignant neoplasm, without specification of site","C80","NEOPLASTIC","BONES","Paris Barclay","David Shore",17680000,"17 May 2005",9.6,7221,"House's ex Stacy Warner asks him to treat her husband. House takes over a diagnostics class for a day and presents the class with three case studies of leg pain. As House tells his story and the class gradually fills up with listeners, the class learns a lot about how to be better doctors, and Chase, Foreman and Cameron learn some important details of House's past."
"35",1,21,21,"Three Stories","Volleyball Player","Malignant neoplasm, without specification of site","C80","NEOPLASTIC","BONE","Paris Barclay","David Shore",17680000,"17 May 2005",9.6,7221,"House's ex Stacy Warner asks him to treat her husband. House takes over a diagnostics class for a day and presents the class with three case studies of leg pain. As House tells his story and the class gradually fills up with listeners, the class learns a lot about how to be better doctors, and Chase, Foreman and Cameron learn some important details of House's past."
"36",1,21,21,"Three Stories","Carmen Electra/Middle aged man/Gregory House","Ischaemic infarction of muscle","M622","CONNECTIVE","MUSCLE","Paris Barclay","David Shore",17680000,"17 May 2005",9.6,7221,"House's ex Stacy Warner asks him to treat her husband. House takes over a diagnostics class for a day and presents the class with three case studies of leg pain. As House tells his story and the class gradually fills up with listeners, the class learns a lot about how to be better doctors, and Chase, Foreman and Cameron learn some important details of House's past."
"37",1,22,22,"Honeymoon","Mark Warner","Other porphyria","E802","METABOLIC","SKIN","Frederick King Keller","Lawrence Kaplow & John Mankiewicz",19520000,"24 May 2005",8.7,2876,"House doses his ex-girlfriend's husband in order to get him into hospital after she begs House to treat him. Is House treating Mark differently in order to get back at Stacy for his leg?"
"38",2,1,23,"Acceptance","Clarence","Malignant neoplasm: Medulla of adrenal gland","C741","NEOPLASTIC","UG","Dan Attias","Russel Friend & Garrett Lerner",15910000,"13 Sep. 2005",8.4,2778,"House treats a patient on death row while Dr. Cameron avoids telling a patient she has a terminal illness."
"39",2,2,24,"Autopsy","Andie","Cerebral infarction due to thrombosis of cerebral arteries","I633","VASCULAR","NS","Deran Sarafian","Lawrence Kaplow",13640000,"20 Sep. 2005",9.2,4074,"A very brave and mature 9-year-old girl has terminal cancer, but that is not what the problem seems to be."
"40",2,3,25,"Humpty Dumpty","Alfredo","Chlamydia psittaci infection","A70","INFECTIOUS","UG","Dan Attias","Matt Witten",13370000,"27 Sep. 2005",8,2507,"Cuddy joins the team after her handyman falls off of her roof and begins to develop bizarre symptoms. Clinic Cases: African American man who objects to ""minority meds."""
"41",2,4,26,"TB or Not TB","Dr. Sebastian Charles","Benign neoplasm: Endocrine pancreas","D137","NEOPLASTIC","PANCREAS","Peter O'Fallon","David Foster",12180000,"1 Nov. 2005",8.1,2526,"A doctor campaigns against the epidemic of TB in Africa, possibly at the risk of his own life."
"42",2,5,27,"Daddy's Boy","Carnell Hall","Haemangioma, any site","D180","NEOPLASTIC","BONE MARROW","Greg Yaitanes","Thomas L. Moran",14150000,"8 Nov. 2005",8.1,2476,"The team takes care of a student with inexplicable electrical shocks, and House's parents visit."
"43",2,6,28,"Spin","Jeff Forster","Myasthenia gravis","G700","AUTOIMMUNE","NS","Fred Gerber","Sara Hess",12950000,"15 Nov. 2005",7.9,2409,"Star bicycle racer collapses, and the team must come up with a diagnosis after the patient admits to blood doping. House and Stacy continue sparring with each other. Clinic Case: Flight attendant poisons himself with gum."
"44",2,6,28,"Spin","Jeff Forster","Myasthenia gravis","G700","NEUROLOGIC","NS","Fred Gerber","Sara Hess",12950000,"15 Nov. 2005",7.9,2409,"Star bicycle racer collapses, and the team must come up with a diagnosis after the patient admits to blood doping. House and Stacy continue sparring with each other. Clinic Case: Flight attendant poisons himself with gum."
"45",2,6,28,"Spin","Jeff Forster","Chronic acquired pure red cell aplasia","D600","NEOPLASTIC","BONE MARROW","Fred Gerber","Sara Hess",12950000,"15 Nov. 2005",7.9,2409,"Star bicycle racer collapses, and the team must come up with a diagnosis after the patient admits to blood doping. House and Stacy continue sparring with each other. Clinic Case: Flight attendant poisons himself with gum."
"46",2,6,28,"Spin","Jeff Forster","Malignant neoplasm of thymus","C37","NEOPLASTIC","THYMUS","Fred Gerber","Sara Hess",12950000,"15 Nov. 2005",7.9,2409,"Star bicycle racer collapses, and the team must come up with a diagnosis after the patient admits to blood doping. House and Stacy continue sparring with each other. Clinic Case: Flight attendant poisons himself with gum."
"47",2,7,29,"Hunting","Kalvin Ryan","Echinococcosis","B67","INFECTIOUS","liver","Gloria Muzio","Liz Friedman",14720000,"22 Nov. 2005",8.3,2468,"After being accused of assaulting a sick man, House is forced to take on his case. However, despite the fact that he has AIDS, it's clearly not what's killing him."
"48",2,8,30,"The Mistake","Kayla McGinley","Gastric ulcer","K25","GASTRO","GI","David Semel","Peter Blake",14910000,"29 Nov. 2005",8.9,2872,"Chaos ensues after Chase's negligence leads to the death of a female patient. Now, after an inquiry from the hospital board, and a subpoena from the patient's brother, it's up to Stacey to protect Chase's career, as well as House's."
"49",2,8,30,"The Mistake","Kayla McGinley","Behçet disease","M352","CONNECTIVE",NA,"David Semel","Peter Blake",14910000,"29 Nov. 2005",8.9,2872,"Chaos ensues after Chase's negligence leads to the death of a female patient. Now, after an inquiry from the hospital board, and a subpoena from the patient's brother, it's up to Stacey to protect Chase's career, as well as House's."
"50",2,8,30,"The Mistake","Kayla McGinley","Sepsis due to other Gram-negative organisms","A415","INFECTIOUS","BV, NS, LIVER, REN","David Semel","Peter Blake",14910000,"29 Nov. 2005",8.9,2872,"Chaos ensues after Chase's negligence leads to the death of a female patient. Now, after an inquiry from the hospital board, and a subpoena from the patient's brother, it's up to Stacey to protect Chase's career, as well as House's."
"51",2,8,30,"The Mistake","Kayla McGinley","Infarction of liver","K763","GASTRO","liver","David Semel","Peter Blake",14910000,"29 Nov. 2005",8.9,2872,"Chaos ensues after Chase's negligence leads to the death of a female patient. Now, after an inquiry from the hospital board, and a subpoena from the patient's brother, it's up to Stacey to protect Chase's career, as well as House's."
"52",2,8,30,"The Mistake","Kayla McGinley","Malignant neoplasm: Liver cell carcinoma","C220","NEOPLASTIC","liver","David Semel","Peter Blake",14910000,"29 Nov. 2005",8.9,2872,"Chaos ensues after Chase's negligence leads to the death of a female patient. Now, after an inquiry from the hospital board, and a subpoena from the patient's brother, it's up to Stacey to protect Chase's career, as well as House's."
"53",2,9,31,"Deception","Anica Jovanovich","Foodborne Clostridium perfringens [Clostridium welchii] intoxication","A052","INFECTIOUS","GI","Deran Sarafian","Michael R. Perry",14520000,"13 Dec. 2005",8.5,2425,"A woman collapses at an off-track betting parlor in front of House, and he must battle his new boss to find her diagnosis."
"54",2,9,31,"Deception","Anica Jovanovich","Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]","F681","PSYCHIATRIC","NS","Deran Sarafian","Michael R. Perry",14520000,"13 Dec. 2005",8.5,2425,"A woman collapses at an off-track betting parlor in front of House, and he must battle his new boss to find her diagnosis."
"55",2,10,32,"Failure to Communicate","Fletcher Stone","Plasmodium falciparum malaria with cerebral complications","B500","INFECTIOUS","NS, BV","Jace Alexander","Doris Egan",14830000,"10 Jan. 2006",8.6,2486,"When a famous writer is brought in with language difficulties, House must assist via phone while waiting for a delayed plane."
"56",2,11,33,"Need to Know","Margo Dalton","Malignant neoplasm: Other specified carcinomas of liver","C227","NEOPLASTIC","liver","David Semel","Pamela Davis",22240000,"7 Feb. 2006",8.2,2372,"House and the team must determine what is causing an increasingly deceitful patient's muscle flailing. Stacy makes a decision, and Cameron avoids a test."
"57",2,12,34,"Distractions","Adam","Poisoning: Other and unspecified antidepressants","T432","PSYCHIATRIC","NS, LIVER","Dan Attias","Lawrence Kaplow",19200000,"14 Feb. 2006",8.6,2467,"A patient with 40% body burns and inexplicable cardiac and neurological signs is treated by the team, while House pursues disproving an old enemy's medical study."
"58",2,13,35,"Skin Deep","Alex","Malignant neoplasm: Descended testis","C621","NEOPLASTIC","UG","Jim Hayman","Story by: Russel Friend & Garrett LernerTeleplay by: Russel Friend & Garrett Lerner & David Shore",14180000,"20 Feb. 2006",8.7,2742,"The search for the cause of a supermodel's symptoms causes intense feelings among the team, as new facts are revealed. Meanwhile, House experiences increasing pain in his leg."
"59",2,14,36,"Sex Kills","Howard Hesseman","Brucellosis","A23","INFECTIOUS","UG","David Semel","Matt Witten",20560000,"7 Mar. 2006",8.4,2440,"House and the team struggle to diagnose one patient in order to save another. Clinic Case: College student claims he has the hots for heifers."
"60",2,15,37,"Clueless","Bob Palko","Toxic effect of metals","T56","METABOLIC","LIVER, BV","Deran Sarafian","Thomas L. Moran",21440000,"28 Mar. 2006",8.5,2415,"House must diagnose a man who became sick and experienced difficulty breathing during sex-play but all tests keep returning normal. Wilson experiences close-up what living with House is like. Clinic case: Herpes"
"61",2,16,38,"Safe","Melinda Bardach","Tick-borne viral encephalitis","A84","INFECTIOUS","NS","Félix Alcalá","Peter Blake",22710000,"4 Apr. 2006",8.8,2682,"6 months after a teenage girl crushes her chest in a car accident and receives a heart transplant she goes into anaphylactic shock in her clean room bedroom after her boyfriend almost kisses her and discovers something on her arm."
"62",2,17,39,"All In","Ian Alston","Malignant histiocytosis","C961","NEOPLASTIC","SKIN","Fred Gerber","David Foster",21200000,"11 Apr. 2006",9,3075,"On a class field trip, a teacher discovers that her six-year-old student, Ian, is bleeding profusely. Dr. House thinks Ian has the same unknown disease that killed an elderly patient of his years ago."
"63",2,18,40,"Sleeping Dogs Lie","Hannah","Bubonic plague","A200","INFECTIOUS","LYMPH NODES","Greg Yaitanes","Sara Hess",22640000,"18 Apr. 2006",8.2,2359,"Cameron gets mad at Foreman because Foreman steals his idea for an article. The case of the week: a lesbian woman has not slept for ten days despite taking a bottle of sleeping pills."
"64",2,19,41,"House vs. God","Boyd","Tuberous sclerosis","Q851","OBSGYN","LUNGS, REN","John F. Showalter","Doris Egan",24520000,"25 Apr. 2006",8.6,2680,"House takes on a teenage faith healer, Wilson desperately wants into a poker game, and tensions escalate between Cameron and Foreman."
"65",2,19,41,"House vs. God","Boyd","Herpesviral encephalitis","B004","INFECTIOUS","NS","John F. Showalter","Doris Egan",24520000,"25 Apr. 2006",8.6,2680,"House takes on a teenage faith healer, Wilson desperately wants into a poker game, and tensions escalate between Cameron and Foreman."
"66",2,20,42,"Euphoria: Part 1","Joe Luria","Legionnaires disease","A481","INFECTIOUS","LUNGS","Deran Sarafian","Matthew V. Lewis",22710000,"2 May 2006",9.1,3311,"A police officer in critical condition has bizarre symptoms, and Dr. Foreman finds himself in an unpleasant situation."
"67",2,21,43,"Euphoria: Part 2","Eric Foreman","Legionnaires disease","A481","INFECTIOUS","LUNGS","Deran Sarafian","Russel Friend & Garrett Lerner & David Shore",17160000,"3 May 2006",9.3,3642,"House tries radical procedures to save Foreman's life. Foreman's father visits."
"68",2,21,43,"Euphoria: Part 2","Eric Foreman","Naegleriasis","B602","INFECTIOUS","NS","Deran Sarafian","Russel Friend & Garrett Lerner & David Shore",17160000,"3 May 2006",9.3,3642,"House tries radical procedures to save Foreman's life. Foreman's father visits."
"69",2,22,44,"Forever","Kara Mason","Deficiency of vitamin K","E561","NUTRITION","BV, BONES","Daniel Sackheim","Liz Friedman",24290000,"9 May 2006",8.1,2305,"A dad kisses his wife and baby goodbye before leaving for work, pukes and returns to find his wife with seizure in the bathtub and the baby under water. Foreman is back but changed."
"70",2,22,44,"Forever","Kara Mason","Deficiency of vitamin K","E561","NUTRITION","BV","Daniel Sackheim","Liz Friedman",24290000,"9 May 2006",8.1,2305,"A dad kisses his wife and baby goodbye before leaving for work, pukes and returns to find his wife with seizure in the bathtub and the baby under water. Foreman is back but changed."
"71",2,22,44,"Forever","Kara Mason","Coeliac disease","K900","AUTOIMMUNE","GI","Daniel Sackheim","Liz Friedman",24290000,"9 May 2006",8.1,2305,"A dad kisses his wife and baby goodbye before leaving for work, pukes and returns to find his wife with seizure in the bathtub and the baby under water. Foreman is back but changed."
"72",2,22,44,"Forever","Kara Mason","Coeliac disease","K900","GASTRO","GI","Daniel Sackheim","Liz Friedman",24290000,"9 May 2006",8.1,2305,"A dad kisses his wife and baby goodbye before leaving for work, pukes and returns to find his wife with seizure in the bathtub and the baby under water. Foreman is back but changed."
"73",2,22,44,"Forever","Kara Mason","Niacin deficiency [pellagra]","E52","NUTRITION","SKIN, BV, LIVER","Daniel Sackheim","Liz Friedman",24290000,"9 May 2006",8.1,2305,"A dad kisses his wife and baby goodbye before leaving for work, pukes and returns to find his wife with seizure in the bathtub and the baby under water. Foreman is back but changed."
"74",2,23,45,"Who's Your Daddy?","Leona","Zygomycosis","B46","INFECTIOUS","LUNGS","Martha Mitchell","Story by: Charles M. Duncan & John MankiewiczTeleplay by: John Mankiewicz & Lawrence Kaplow",22380000,"16 May 2006",7.8,2339,"House cares for a young Katrina victim, the alleged daughter of an old friend of his. He supposedly she had hallucinations because of the heart, but it turns out not to be the cause.House discovers a disease that his grandfather had."
"75",2,24,46,"No Reason","Gregory House","Other hallucinations","R442","PSYCHIATRIC","NS","David Shore","Story by: Lawrence Kaplow & David ShoreTeleplay by: David Shore",25470000,"23 May 2006",9.5,4835,"An old patient of House comes back and seeks revenge upon him in the form of gunshot."
"76",3,1,47,"Meaning","Richard McNeil","Hypothalamic dysfunction, not elsewhere classified","E233","NEUROLOGIC","NS","Deran Sarafian","Story by: Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by: Lawrence Kaplow & David Shore",19550000,"5 Sep. 2006",8.9,2998,"Richard, a husband and father living with brain cancer, drives his wheelchair into a pool at a family BBQ. Everyone but his son think that it was suicide from the pain but House will stop at nothing to figure out his true ailment."
"77",3,1,47,"Meaning","Richard McNeil","Addisonian crisis","E272","GENITOURINARY","REN","Deran Sarafian","Story by: Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by: Lawrence Kaplow & David Shore",19550000,"5 Sep. 2006",8.9,2998,"Richard, a husband and father living with brain cancer, drives his wheelchair into a pool at a family BBQ. Everyone but his son think that it was suicide from the pain but House will stop at nothing to figure out his true ailment."
"78",3,1,47,"Meaning","Caren Krause","Sequelae of vitamin C deficiency","E642","NUTRITION","GI","Deran Sarafian","Story by: Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by: Lawrence Kaplow & David Shore",19550000,"5 Sep. 2006",8.9,2998,"Richard, a husband and father living with brain cancer, drives his wheelchair into a pool at a family BBQ. Everyone but his son think that it was suicide from the pain but House will stop at nothing to figure out his true ailment."
"79",3,2,48,"Cane and Able","Clancy Green","Chimera 46, XX/46, XY","Q990","OBSGYN","HEART, REN, NS","Daniel Sackheim","Story by: Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by: Russel Friend & Garrett Lerner",15740000,"12 Sep. 2006",8.4,2434,"House is affected by the fact that he thinks he didn't solve the last case while a young boy, who believes aliens tortured him, is brought in."
"80",3,3,49,"Informed Consent","Ezra Powell","Amyloidosis of skin","L990","METABOLIC","SKIN","Laura Innes","David Foster",13670000,"19 Sep. 2006",8.6,2557,"House and his team face a lot of moral dilemmas when a patient wants them to help him end his life."
"81",3,4,50,"Lines in the Sand","Adam Kelvey","Unspecified parasitic disease","B89","INFECTIOUS","SPLEEN","Newton Thomas Sigel","David Hoselton",14520000,"26 Sep. 2006",9,3116,"A ten-year-old boy begins screaming in pain, but nobody knows why, because he is autistic and cannot explain. House refuses to use his office because it has new carpet."
"82",3,5,51,"Fools for Love","Tracy","Angioneurotic oedema","T783","VASCULAR","BV","David Platt","Peter Blake",14180000,"31 Oct. 2006",8.4,2311,"A husband and wife being treated cause Foreman to ponder the strength of true love, and House abuses one too many patients with potentially devastating repercussions."
"83",3,5,51,"Fools for Love","Jeremy","Angioneurotic oedema","T783","VASCULAR","BV","David Platt","Peter Blake",14180000,"31 Oct. 2006",8.4,2311,"A husband and wife being treated cause Foreman to ponder the strength of true love, and House abuses one too many patients with potentially devastating repercussions."
"84",3,6,52,"Que Será Será","George","Malignant neoplasm: Bronchus or lung, unspecified","C349","NEOPLASTIC","LUNG","Deran Sarafian","Thomas L. Moran",16110000,"7 Nov. 2006",8.1,2339,"An obese man in a coma presents treatment challenges, but finding out what's wrong with him may be the most challenging test of all. Elsewhere, Tritter ramps up his vendetta against House."
"85",3,7,53,"Son of Coma Guy","Kyle Wozniak","Other metabolic disorders","E88","METABOLIC","LIVER, BV","Dan Attias","Doris Egan",14600000,"14 Nov. 2006",8.9,2912,"When the son of a man in a vegetative state starts going into a coma, the vegetative man is reawakened chemically by House, who hopes to get some clues to the son's problems."
"86",3,8,54,"Whac-A-Mole","Jack Walters","Granulomatous disorders of skin and subcutaneous tissue","L92","METABOLIC","SKIN","Daniel Sackheim","Pamela Davis",15200000,"21 Nov. 2006",8.1,2232,"A young man collapses at his job, and House makes a game of establishing the diagnosis until things turn critical, and Tritter increases the pressure on Wilson."
