field/0/__text;field/1/__text;field/2/_ref;_id
Tuberculosis of lung, confirmed histologically;A15.2;icdcat1-2;A152
Tuberculosis of lung, confirmed by unspecified means;A15.3;icdcat1-2;A153
Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;A15.4;icdcat1-2;A154
Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;A15.5;icdcat1-2;A155
Tuberculous pleurisy, confirmed bacteriologically and histologically;A15.6;icdcat1-2;A156
Primary respiratory tuberculosis, confirmed bacteriologically and histologically;A15.7;icdcat1-2;A157
Other respiratory tuberculosis, confirmed bacteriologically and histologically;A15.8;icdcat1-2;A158
Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;A15.9;icdcat1-2;A159
Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16;icdcat1-2;A16
Tuberculosis of lung, bacteriologically and histologically negative;A16.0;icdcat1-2;A160
Tuberculosis of lung, bacteriological and histological examination not done;A16.1;icdcat1-2;A161
Tuberculosis of lung, without mention of bacteriological or histological confirmation;A16.2;icdcat1-2;A162
Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;A16.3;icdcat1-2;A163
Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;A16.4;icdcat1-2;A164
Tuberculous pleurisy, without mention of bacteriological or histological confirmation;A16.5;icdcat1-2;A165
Primary respiratory tuberculosis without mention of bacteriological or histological confirmation;A16.7;icdcat1-2;A167
Other respiratory tuberculosis, without mention of bacteriological or histological confirmation;A16.8;icdcat1-2;A168
Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;A16.9;icdcat1-2;A169
Tuberculosis of nervous system;A17;icdcat1-2;A17
Tuberculous meningitis;A17.0;icdcat1-2;A170
Meningeal tuberculoma;A17.1;icdcat1-2;A171
Other tuberculosis of nervous system;A17.8;icdcat1-2;A178
Tuberculosis of nervous system, unspecified;A17.9;icdcat1-2;A179
Tuberculosis of other organs;A18;icdcat1-2;A18
Tuberculosis of bones and joints;A18.0;icdcat1-2;A180
Tuberculosis of genitourinary system;A18.1;icdcat1-2;A181
Tuberculous peripheral lymphadenopathy;A18.2;icdcat1-2;A182
Tuberculosis of intestines, peritoneum and mesenteric glands;A18.3;icdcat1-2;A183
Tuberculosis of skin and subcutaneous tissue;A18.4;icdcat1-2;A184
Tuberculosis of eye;A18.5;icdcat1-2;A185
Tuberculosis of ear;A18.6;icdcat1-2;A186
Tuberculosis of adrenal glands;A18.7;icdcat1-2;A187
Tuberculosis of other specified organs;A18.8;icdcat1-2;A188
Miliary tuberculosis;A19;icdcat1-2;A19
Acute miliary tuberculosis of a single specified site;A19.0;icdcat1-2;A190
Acute miliary tuberculosis of multiple sites;A19.1;icdcat1-2;A191
Acute miliary tuberculosis, unspecified;A19.2;icdcat1-2;A192
Other miliary tuberculosis;A19.8;icdcat1-2;A198
Miliary tuberculosis, unspecified;A19.9;icdcat1-2;A199
Plague;A20;icdcat1-3;A20
Bubonic plague;A20.0;icdcat1-3;A200
Cellulocutaneous plague;A20.1;icdcat1-3;A201
Pneumonic plague;A20.2;icdcat1-3;A202
Plague meningitis;A20.3;icdcat1-3;A203
Septicaemic plague;A20.7;icdcat1-3;A207
Other forms of plague;A20.8;icdcat1-3;A208
Plague, unspecified;A20.9;icdcat1-3;A209
Tularaemia;A21;icdcat1-3;A21
Ulceroglandular tularaemia;A21.0;icdcat1-3;A210
Oculoglandular tularaemia;A21.1;icdcat1-3;A211
Pulmonary tularaemia;A21.2;icdcat1-3;A212
Gastrointestinal tularaemia;A21.3;icdcat1-3;A213
Generalized tularaemia;A21.7;icdcat1-3;A217
Other forms of tularaemia;A21.8;icdcat1-3;A218
Tularaemia, unspecified;A21.9;icdcat1-3;A219
Anthrax;A22;icdcat1-3;A22
Cutaneous anthrax;A22.0;icdcat1-3;A220
Pulmonary anthrax;A22.1;icdcat1-3;A221
Gastrointestinal anthrax;A22.2;icdcat1-3;A222
Anthrax sepsis;A22.7;icdcat1-3;A227
Other forms of anthrax;A22.8;icdcat1-3;A228
Anthrax, unspecified;A22.9;icdcat1-3;A229
Brucellosis;A23;icdcat1-3;A23
Brucellosis due to Brucella melitensis;A23.0;icdcat1-3;A230
Brucellosis due to Brucella abortus;A23.1;icdcat1-3;A231
Brucellosis due to Brucella suis;A23.2;icdcat1-3;A232
Brucellosis due to Brucella canis;A23.3;icdcat1-3;A233
Other brucellosis;A23.8;icdcat1-3;A238
Brucellosis, unspecified;A23.9;icdcat1-3;A239
Glanders and melioidosis;A24;icdcat1-3;A24
Glanders;A24.0;icdcat1-3;A240
Acute and fulminating melioidosis;A24.1;icdcat1-3;A241
Subacute and chronic melioidosis;A24.2;icdcat1-3;A242
Other melioidosis;A24.3;icdcat1-3;A243
Melioidosis, unspecified;A24.4;icdcat1-3;A244
Rat-bite fevers;A25;icdcat1-3;A25
Spirillosis;A25.0;icdcat1-3;A250
Streptobacillosis;A25.1;icdcat1-3;A251
Rat-bite fever, unspecified;A25.9;icdcat1-3;A259
Erysipeloid;A26;icdcat1-3;A26
Cutaneous erysipeloid;A26.0;icdcat1-3;A260
Erysipelothrix sepsis;A26.7;icdcat1-3;A267
Other forms of erysipeloid;A26.8;icdcat1-3;A268
Erysipeloid, unspecified;A26.9;icdcat1-3;A269
Leptospirosis;A27;icdcat1-3;A27
Leptospirosis icterohaemorrhagica;A27.0;icdcat1-3;A270
Other forms of leptospirosis;A27.8;icdcat1-3;A278
Leptospirosis, unspecified;A27.9;icdcat1-3;A279
Other zoonotic bacterial diseases, not elsewhere classified;A28;icdcat1-3;A28
Pasteurellosis;A28.0;icdcat1-3;A280
Cat-scratch disease;A28.1;icdcat1-3;A281
Extraintestinal yersiniosis;A28.2;icdcat1-3;A282
Other specified zoonotic bacterial diseases, not elsewhere classified;A28.8;icdcat1-3;A288
Zoonotic bacterial disease, unspecified;A28.9;icdcat1-3;A289
Leprosy [Hansen disease];A30;icdcat1-4;A30
Indeterminate leprosy;A30.0;icdcat1-4;A300
Tuberculoid leprosy;A30.1;icdcat1-4;A301
Borderline tuberculoid leprosy;A30.2;icdcat1-4;A302
Borderline leprosy;A30.3;icdcat1-4;A303
Borderline lepromatous leprosy;A30.4;icdcat1-4;A304
Lepromatous leprosy;A30.5;icdcat1-4;A305
Other forms of leprosy;A30.8;icdcat1-4;A308
Leprosy, unspecified;A30.9;icdcat1-4;A309
Infection due to other mycobacteria;A31;icdcat1-4;A31
Pulmonary mycobacterial infection;A31.0;icdcat1-4;A310
Cutaneous mycobacterial infection;A31.1;icdcat1-4;A311
Other mycobacterial infections;A31.8;icdcat1-4;A318
Mycobacterial infection, unspecified;A31.9;icdcat1-4;A319
Listeriosis;A32;icdcat1-4;A32
Cutaneous listeriosis;A32.0;icdcat1-4;A320
Listerial meningitis and meningoencephalitis;A32.1;icdcat1-4;A321
Listerial sepsis;A32.7;icdcat1-4;A327
Other forms of listeriosis;A32.8;icdcat1-4;A328
Listeriosis, unspecified;A32.9;icdcat1-4;A329
Tetanus neonatorum;A33;icdcat1-4;A33
Obstetrical tetanus;A34;icdcat1-4;A34
Other tetanus;A35;icdcat1-4;A35
Diphtheria;A36;icdcat1-4;A36
Pharyngeal diphtheria;A36.0;icdcat1-4;A360
Nasopharyngeal diphtheria;A36.1;icdcat1-4;A361
Laryngeal diphtheria;A36.2;icdcat1-4;A362
Cutaneous diphtheria;A36.3;icdcat1-4;A363
Other diphtheria;A36.8;icdcat1-4;A368
Diphtheria, unspecified;A36.9;icdcat1-4;A369
Whooping cough;A37;icdcat1-4;A37
Whooping cough due to Bordetella pertussis;A37.0;icdcat1-4;A370
Whooping cough due to Bordetella parapertussis;A37.1;icdcat1-4;A371
Whooping cough due to other Bordetella species;A37.8;icdcat1-4;A378
Whooping cough, unspecified;A37.9;icdcat1-4;A379
Scarlet fever;A38;icdcat1-4;A38
Meningococcal infection;A39;icdcat1-4;A39
Meningococcal meningitis;A39.0;icdcat1-4;A390
Waterhouse-Friderichsen syndrome;A39.1;icdcat1-4;A391
Acute meningococcaemia;A39.2;icdcat1-4;A392
Chronic meningococcaemia;A39.3;icdcat1-4;A393
Meningococcaemia, unspecified;A39.4;icdcat1-4;A394
Meningococcal heart disease;A39.5;icdcat1-4;A395
Other meningococcal infections;A39.8;icdcat1-4;A398
Meningococcal infection, unspecified;A39.9;icdcat1-4;A399
Streptococcal sepsis;A40;icdcat1-4;A40
Sepsis due to streptococcus, group A;A40.0;icdcat1-4;A400
Sepsis due to streptococcus, group B;A40.1;icdcat1-4;A401
Sepsis due to streptococcus, group D;A40.2;icdcat1-4;A402
Sepsis due to Streptococcus pneumoniae;A40.3;icdcat1-4;A403
Other streptococcal sepsis;A40.8;icdcat1-4;A408
Streptococcal sepsis, unspecified;A40.9;icdcat1-4;A409
Other sepsis;A41;icdcat1-4;A41
Sepsis due to Staphylococcus aureus;A41.0;icdcat1-4;A410
Sepsis due to other specified staphylococcus;A41.1;icdcat1-4;A411
Sepsis due to unspecified staphylococcus;A41.2;icdcat1-4;A412
Sepsis due to Haemophilus influenzae;A41.3;icdcat1-4;A413
Sepsis due to anaerobes;A41.4;icdcat1-4;A414
Sepsis due to other Gram-negative organisms;A41.5;icdcat1-4;A415
Other specified sepsis;A41.8;icdcat1-4;A418
Sepsis, unspecified;A41.9;icdcat1-4;A419
Actinomycosis;A42;icdcat1-4;A42
Pulmonary actinomycosis;A42.0;icdcat1-4;A420
Abdominal actinomycosis;A42.1;icdcat1-4;A421
Cervicofacial actinomycosis;A42.2;icdcat1-4;A422
Actinomycotic sepsis;A42.7;icdcat1-4;A427
Other forms of actinomycosis;A42.8;icdcat1-4;A428
Actinomycosis, unspecified;A42.9;icdcat1-4;A429
Nocardiosis;A43;icdcat1-4;A43
Pulmonary nocardiosis;A43.0;icdcat1-4;A430
Cutaneous nocardiosis;A43.1;icdcat1-4;A431
Other forms of nocardiosis;A43.8;icdcat1-4;A438
Nocardiosis, unspecified;A43.9;icdcat1-4;A439
Bartonellosis;A44;icdcat1-4;A44
Systemic bartonellosis;A44.0;icdcat1-4;A440
Cutaneous and mucocutaneous bartonellosis;A44.1;icdcat1-4;A441
Other forms of bartonellosis;A44.8;icdcat1-4;A448
Bartonellosis, unspecified;A44.9;icdcat1-4;A449
Erysipelas;A46;icdcat1-4;A46
Other bacterial diseases, not elsewhere classified;A48;icdcat1-4;A48
Gas gangrene;A48.0;icdcat1-4;A480
Legionnaires disease;A48.1;icdcat1-4;A481
Nonpneumonic Legionnaires disease [Pontiac fever];A48.2;icdcat1-4;A482
Toxic shock syndrome;A48.3;icdcat1-4;A483
Brazilian purpuric fever;A48.4;icdcat1-4;A484
Other specified bacterial diseases;A48.8;icdcat1-4;A488
Bacterial infection of unspecified site;A49;icdcat1-4;A49
Staphylococcal infection, unspecified site;A49.0;icdcat1-4;A490
Streptococcal and enterococcal infection, unspecified site;A49.1;icdcat1-4;A491
Haemophilus influenzae infection, unspecified site;A49.2;icdcat1-4;A492
Mycoplasma infection, unspecified site;A49.3;icdcat1-4;A493
Other bacterial infections of unspecified site;A49.8;icdcat1-4;A498
Bacterial infection, unspecified;A49.9;icdcat1-4;A499
Congenital syphilis;A50;icdcat1-5;A50
Early congenital syphilis, symptomatic;A50.0;icdcat1-5;A500
Early congenital syphilis, latent;A50.1;icdcat1-5;A501
Early congenital syphilis, unspecified;A50.2;icdcat1-5;A502
Late congenital syphilitic oculopathy;A50.3;icdcat1-5;A503
Late congenital neurosyphilis [juvenile neurosyphilis];A50.4;icdcat1-5;A504
Other late congenital syphilis, symptomatic;A50.5;icdcat1-5;A505
Late congenital syphilis, latent;A50.6;icdcat1-5;A506
Late congenital syphilis, unspecified;A50.7;icdcat1-5;A507
Congenital syphilis, unspecified;A50.9;icdcat1-5;A509
Early syphilis;A51;icdcat1-5;A51
Primary genital syphilis;A51.0;icdcat1-5;A510
Primary anal syphilis;A51.1;icdcat1-5;A511
Primary syphilis of other sites;A51.2;icdcat1-5;A512
Secondary syphilis of skin and mucous membranes;A51.3;icdcat1-5;A513
Other secondary syphilis;A51.4;icdcat1-5;A514
Early syphilis, latent;A51.5;icdcat1-5;A515
Early syphilis, unspecified;A51.9;icdcat1-5;A519
Late syphilis;A52;icdcat1-5;A52
Cardiovascular syphilis;A52.0;icdcat1-5;A520
Symptomatic neurosyphilis;A52.1;icdcat1-5;A521
Asymptomatic neurosyphilis;A52.2;icdcat1-5;A522
Neurosyphilis, unspecified;A52.3;icdcat1-5;A523
Other symptomatic late syphilis;A52.7;icdcat1-5;A527
Late syphilis, latent;A52.8;icdcat1-5;A528
Late syphilis, unspecified;A52.9;icdcat1-5;A529
Other and unspecified syphilis;A53;icdcat1-5;A53
Latent syphilis, unspecified as early or late;A53.0;icdcat1-5;A530
Syphilis, unspecified;A53.9;icdcat1-5;A539
Gonococcal infection;A54;icdcat1-5;A54
Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess;A54.0;icdcat1-5;A540
Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess;A54.1;icdcat1-5;A541
Gonococcal pelviperitonitis and other gonococcal genitourinary infections;A54.2;icdcat1-5;A542
Gonococcal infection of eye;A54.3;icdcat1-5;A543
Gonococcal infection of musculoskeletal system;A54.4;icdcat1-5;A544
Gonococcal pharyngitis;A54.5;icdcat1-5;A545
Gonococcal infection of anus and rectum;A54.6;icdcat1-5;A546
Other gonococcal infections;A54.8;icdcat1-5;A548
Gonococcal infection, unspecified;A54.9;icdcat1-5;A549
Chlamydial lymphogranuloma (venereum);A55;icdcat1-5;A55
Other sexually transmitted chlamydial diseases;A56;icdcat1-5;A56
Chlamydial infection of lower genitourinary tract;A56.0;icdcat1-5;A560
Chlamydial infection of pelviperitoneum and other genitourinary organs;A56.1;icdcat1-5;A561
Chlamydial infection of genitourinary tract, unspecified;A56.2;icdcat1-5;A562
Chlamydial infection of anus and rectum;A56.3;icdcat1-5;A563
Chlamydial infection of pharynx;A56.4;icdcat1-5;A564
Sexually transmitted chlamydial infection of other sites;A56.8;icdcat1-5;A568
Chancroid;A57;icdcat1-5;A57
Granuloma inguinale;A58;icdcat1-5;A58
Trichomoniasis;A59;icdcat1-5;A59
Urogenital trichomoniasis;A59.0;icdcat1-5;A590
Trichomoniasis of other sites;A59.8;icdcat1-5;A598
Trichomoniasis, unspecified;A59.9;icdcat1-5;A599
Anogenital herpesviral [herpes simplex] infection;A60;icdcat1-5;A60
Herpesviral infection of genitalia and urogenital tract;A60.0;icdcat1-5;A600
Herpesviral infection of perianal skin and rectum;A60.1;icdcat1-5;A601
Anogenital herpesviral infection, unspecified;A60.9;icdcat1-5;A609
Other predominantly sexually transmitted diseases, not elsewhere classified;A63;icdcat1-5;A63
Anogenital (venereal) warts;A63.0;icdcat1-5;A630
Other specified predominantly sexually transmitted diseases;A63.8;icdcat1-5;A638
Unspecified sexually transmitted disease;A64;icdcat1-5;A64
Nonvenereal syphilis;A65;icdcat1-6;A65
Yaws;A66;icdcat1-6;A66
Initial lesions of yaws;A66.0;icdcat1-6;A660
Multiple papillomata and wet crab yaws;A66.1;icdcat1-6;A661
Other early skin lesions of yaws;A66.2;icdcat1-6;A662
Hyperkeratosis of yaws;A66.3;icdcat1-6;A663
Gummata and ulcers of yaws;A66.4;icdcat1-6;A664
Gangosa;A66.5;icdcat1-6;A665
Bone and joint lesions of yaws;A66.6;icdcat1-6;A666
Other manifestations of yaws;A66.7;icdcat1-6;A667
Latent yaws;A66.8;icdcat1-6;A668
Yaws, unspecified;A66.9;icdcat1-6;A669
Pinta [carate];A67;icdcat1-6;A67
Primary lesions of pinta;A67.0;icdcat1-6;A670
Intermediate lesions of pinta;A67.1;icdcat1-6;A671
Late lesions of pinta;A67.2;icdcat1-6;A672
Mixed lesions of pinta;A67.3;icdcat1-6;A673
Pinta, unspecified;A67.9;icdcat1-6;A679
Relapsing fevers;A68;icdcat1-6;A68
Louse-borne relapsing fever;A68.0;icdcat1-6;A680
Tick-borne relapsing fever;A68.1;icdcat1-6;A681
Relapsing fever, unspecified;A68.9;icdcat1-6;A689
Other spirochaetal infections;A69;icdcat1-6;A69
Necrotizing ulcerative stomatitis;A69.0;icdcat1-6;A690
Other Vincent infections;A69.1;icdcat1-6;A691
Lyme disease;A69.2;icdcat1-6;A692
Other specified spirochaetal infections;A69.8;icdcat1-6;A698
Spirochaetal infection, unspecified;A69.9;icdcat1-6;A699
Chlamydia psittaci infection;A70;icdcat1-7;A70
Trachoma;A71;icdcat1-7;A71
Initial stage of trachoma;A71.0;icdcat1-7;A710
Active stage of trachoma;A71.1;icdcat1-7;A711
Trachoma, unspecified;A71.9;icdcat1-7;A719
Other diseases caused by chlamydiae;A74;icdcat1-7;A74
Chlamydial conjunctivitis;A74.0;icdcat1-7;A740
Other chlamydial diseases;A74.8;icdcat1-7;A748
Chlamydial infection, unspecified;A74.9;icdcat1-7;A749
Typhus fever;A75;icdcat1-8;A75
Epidemic louse-borne typhus fever due to Rickettsia prowazekii;A75.0;icdcat1-8;A750
Recrudescent typhus [Brill disease];A75.1;icdcat1-8;A751
Typhus fever due to Rickettsia typhi;A75.2;icdcat1-8;A752
Typhus fever due to Rickettsia tsutsugamushi;A75.3;icdcat1-8;A753
Typhus fever, unspecified;A75.9;icdcat1-8;A759
Spotted fever [tick-borne rickettsioses];A77;icdcat1-8;A77
Spotted fever due to Rickettsia rickettsii;A77.0;icdcat1-8;A770
Spotted fever due to Rickettsia conorii;A77.1;icdcat1-8;A771
Spotted fever due to Rickettsia sibirica;A77.2;icdcat1-8;A772
Spotted fever due to Rickettsia australis;A77.3;icdcat1-8;A773
Other spotted fevers;A77.8;icdcat1-8;A778
Spotted fever, unspecified;A77.9;icdcat1-8;A779
Q fever;A78;icdcat1-8;A78
Other rickettsioses;A79;icdcat1-8;A79
Trench fever;A79.0;icdcat1-8;A790
Rickettsialpox due to Rickettsia akari;A79.1;icdcat1-8;A791
Other specified rickettsioses;A79.8;icdcat1-8;A798
Rickettsiosis, unspecified;A79.9;icdcat1-8;A799
Acute poliomyelitis;A80;icdcat1-9;A80
Acute paralytic poliomyelitis, vaccine-associated;A80.0;icdcat1-9;A800
Acute paralytic poliomyelitis, wild virus, imported;A80.1;icdcat1-9;A801
Acute paralytic poliomyelitis, wild virus, indigenous;A80.2;icdcat1-9;A802
Acute paralytic poliomyelitis, other and unspecified;A80.3;icdcat1-9;A803
Acute nonparalytic poliomyelitis;A80.4;icdcat1-9;A804
Acute poliomyelitis, unspecified;A80.9;icdcat1-9;A809
Atypical virus infections of central nervous system;A81;icdcat1-9;A81
Creutzfeldt-Jakob disease;A81.0;icdcat1-9;A810
Subacute sclerosing panencephalitis;A81.1;icdcat1-9;A811
Progressive multifocal leukoencephalopathy;A81.2;icdcat1-9;A812
Other atypical virus infections of central nervous system;A81.8;icdcat1-9;A818
Atypical virus infection of central nervous system, unspecified;A81.9;icdcat1-9;A819
Rabies;A82;icdcat1-9;A82
Sylvatic rabies;A82.0;icdcat1-9;A820
Urban rabies;A82.1;icdcat1-9;A821
Rabies, unspecified;A82.9;icdcat1-9;A829
Mosquito-borne viral encephalitis;A83;icdcat1-9;A83
Japanese encephalitis;A83.0;icdcat1-9;A830
Western equine encephalitis;A83.1;icdcat1-9;A831
Eastern equine encephalitis;A83.2;icdcat1-9;A832
St Louis encephalitis;A83.3;icdcat1-9;A833
Australian encephalitis;A83.4;icdcat1-9;A834
California encephalitis;A83.5;icdcat1-9;A835
Rocio virus disease;A83.6;icdcat1-9;A836
Other mosquito-borne viral encephalitis;A83.8;icdcat1-9;A838
Mosquito-borne viral encephalitis, unspecified;A83.9;icdcat1-9;A839
Tick-borne viral encephalitis;A84;icdcat1-9;A84
Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis];A84.0;icdcat1-9;A840
Central European tick-borne encephalitis;A84.1;icdcat1-9;A841
Other tick-borne viral encephalitis;A84.8;icdcat1-9;A848
Tick-borne viral encephalitis, unspecified;A84.9;icdcat1-9;A849
Other viral encephalitis, not elsewhere classified;A85;icdcat1-9;A85
Enteroviral encephalitis;A85.0;icdcat1-9;A850
Adenoviral encephalitis;A85.1;icdcat1-9;A851
Arthropod-borne viral encephalitis, unspecified;A85.2;icdcat1-9;A852
Other specified viral encephalitis;A85.8;icdcat1-9;A858
Unspecified viral encephalitis;A86;icdcat1-9;A86
Viral meningitis;A87;icdcat1-9;A87
Enteroviral meningitis;A87.0;icdcat1-9;A870
Adenoviral meningitis;A87.1;icdcat1-9;A871
Lymphocytic choriomeningitis;A87.2;icdcat1-9;A872
Other viral meningitis;A87.8;icdcat1-9;A878
Viral meningitis, unspecified;A87.9;icdcat1-9;A879
Other viral infections of central nervous system, not elsewhere classified;A88;icdcat1-9;A88
Enteroviral exanthematous fever [Boston exanthem];A88.0;icdcat1-9;A880
Epidemic vertigo;A88.1;icdcat1-9;A881
Other specified viral infections of central nervous system;A88.8;icdcat1-9;A888
Unspecified viral infection of central nervous system;A89;icdcat1-9;A89
Dengue fever [classical dengue];A90;icdcat1-10;A90
Dengue haemorrhagic fever;A91;icdcat1-10;A91
Other mosquito-borne viral fevers;A92;icdcat1-10;A92
Chikungunya virus disease;A92.0;icdcat1-10;A920
O'nyong-nyong fever;A92.1;icdcat1-10;A921
Venezuelan equine fever;A92.2;icdcat1-10;A922
West Nile virus infection;A92.3;icdcat1-10;A923
Rift Valley fever;A92.4;icdcat1-10;A924
Other specified mosquito-borne viral fevers;A92.8;icdcat1-10;A928
Mosquito-borne viral fever, unspecified;A92.9;icdcat1-10;A929
Other arthropod-borne viral fevers, not elsewhere classified;A93;icdcat1-10;A93
Oropouche virus disease;A93.0;icdcat1-10;A930
Sandfly fever;A93.1;icdcat1-10;A931
Colorado tick fever;A93.2;icdcat1-10;A932
Other specified arthropod-borne viral fevers;A93.8;icdcat1-10;A938
Unspecified arthropod-borne viral fever;A94;icdcat1-10;A94
Yellow fever;A95;icdcat1-10;A95
Sylvatic yellow fever;A95.0;icdcat1-10;A950
Urban yellow fever;A95.1;icdcat1-10;A951
Yellow fever, unspecified;A95.9;icdcat1-10;A959
Arenaviral haemorrhagic fever;A96;icdcat1-10;A96
Junin haemorrhagic fever;A96.0;icdcat1-10;A960
Machupo haemorrhagic fever;A96.1;icdcat1-10;A961
Lassa fever;A96.2;icdcat1-10;A962
Other arenaviral haemorrhagic fevers;A96.8;icdcat1-10;A968
Arenaviral haemorrhagic fever, unspecified;A96.9;icdcat1-10;A969
Other viral haemorrhagic fevers, not elsewhere classified;A98;icdcat1-10;A98
Crimean-Congo haemorrhagic fever;A98.0;icdcat1-10;A980
Omsk haemorrhagic fever;A98.1;icdcat1-10;A981
Kyasanur Forest disease;A98.2;icdcat1-10;A982
Marburg virus disease;A98.3;icdcat1-10;A983
Ebola virus disease;A98.4;icdcat1-10;A984
Haemorrhagic fever with renal syndrome;A98.5;icdcat1-10;A985
Other specified viral haemorrhagic fevers;A98.8;icdcat1-10;A988
Unspecified viral haemorrhagic fever;A99;icdcat1-10;A99
Herpesviral [herpes simplex] infections;B00;icdcat1-11;B00
Eczema herpeticum;B00.0;icdcat1-11;B000
Herpesviral vesicular dermatitis;B00.1;icdcat1-11;B001
Herpesviral gingivostomatitis and pharyngotonsillitis;B00.2;icdcat1-11;B002
Herpesviral meningitis;B00.3;icdcat1-11;B003
Herpesviral encephalitis;B00.4;icdcat1-11;B004
